group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7
2,25,12000698,12.5242988058873,13.9128019994446,15.1624548736462,15.5234657039711,16.9952790891419,13.1074701471813,12.7742293807276,0.0316713483146067,0.0304744525547445,0.0327338129496402,0.0310555555555555,0.0302371541501976,0.0288508557457212,0.0308310991957104,356,411,417,450,506,409,373
2,26,12000700,12.6353790613718,13.9128019994446,18.7447931130242,12.9130797000833,12.1632879755623,14.9680644265482,14.6625937239656,0.0307432432432432,0.029060324825986,0.0345092024539877,0.0283536585365853,0.0289682539682539,0.0302808988764044,0.0295302013422818,370,431,489,410,378,445,447
2,27,12000722,12.1077478478201,17.4673701749514,15.3290752568731,12.468758678145,16.3287975562344,13.412940849764,12.8853096362122,0.0297814207650273,0.0349444444444444,0.0320185614849187,0.0287084398976982,0.0319565217391304,0.0293795620437956,0.0302083333333333,366,450,431,391,460,411,384
2,28,12000733,14.1071924465426,15.6623160233269,13.051930019439,13.7739516800889,15.7178561510691,13.0797000833102,14.6070535962233,0.0312039312039312,0.0313333333333333,0.031084656084656,0.0300970873786407,0.0308278867102396,0.0296599496221662,0.0301605504587155,407,450,378,412,459,397,436
2,29,12000766,14.3848930852541,15.8567064704249,12.1077478478201,14.8014440433213,16.7731185781727,8.9419605665093,17.1341294084976,0.0315853658536585,0.0325170842824601,0.0291443850267379,0.0301470588235294,0.0318565400843881,0.0283450704225352,0.032542194092827,410,439,374,442,474,284,474
2,30,12000788,17.0230491530131,11.4134962510414,14.2182727020272,15.1902249375174,15.1346848097751,10.2471535684532,16.7731185781727,0.0335339168490153,0.0291903409090909,0.0306220095693779,0.0301876379690949,0.0297489082969432,0.028828125,0.0293774319066147,457,352,418,453,458,320,514
2,31,12000867,11.8022771452374,16.8564287697862,15.9677867259095,14.3293529575118,14.6625937239656,12.9130797000833,13.4684809775062,0.030099150141643,0.0330610021786492,0.0314551422319474,0.0318518518518518,0.0313539192399049,0.0303524804177545,0.0299382716049382,353,459,457,405,421,383,405
2,32,12000889,13.4684809775062,15.6345459594557,15.0791446820328,14.1905026381561,15.8289364065537,13.607331296862,12.1910580394335,0.0323333333333333,0.0319160997732426,0.0325539568345323,0.0319375,0.0303837953091684,0.030625,0.031002824858757,375,441,417,400,469,400,354
2,33,12001004,13.8294918078312,15.7456262149403,15.1069147459039,13.1630102749236,14.6348236600944,13.1630102749236,14.3571230213829,0.0306650246305418,0.0339928057553956,0.0309794988610478,0.0297738693467336,0.0309999999999999,0.0294044665012407,0.031601466992665,406,417,439,398,425,403,409
2,34,12001015,14.6625937239656,12.468758678145,14.3293529575118,15.690086087198,16.8841988336573,11.4690363787837,14.4959733407387,0.0302752293577981,0.0307534246575342,0.0307875894988066,0.0312499999999999,0.0318658280922431,0.029002808988764,0.0328715365239294,436,365,419,452,477,356,397
2,35,12001037,15.2735351291308,13.8572618717023,12.5242988058873,14.2738128297695,15.0513746181616,12.9408497639545,16.0788669813941,0.0295698924731182,0.0305759803921568,0.0295931758530183,0.029676674364896,0.030518018018018,0.0299485861182519,0.029601226993865,465,408,381,433,444,389,489
2,36,12001048,14.6070535962233,16.1344071091364,14.3293529575118,12.6076089975007,14.0238822549292,11.913357400722,16.3843376839767,0.0316867469879518,0.0319933920704845,0.0306413301662707,0.0294805194805194,0.0295667447306791,0.0288306451612903,0.0304752066115702,415,454,421,385,427,372,484
2,37,12001060,15.1624548736462,14.6625937239656,16.5509580672036,14.5792835323521,12.8019994445987,11.2191058039433,14.9958344904193,0.0324999999999999,0.0321951219512195,0.0338636363636363,0.0316265060240963,0.0314032697547683,0.0297058823529411,0.0316901408450704,420,410,440,415,367,340,426
2,38,12001082,15.690086087198,15.2735351291308,13.996112191058,11.8022771452374,13.4684809775062,11.524576506526,18.2449319633435,0.0307065217391304,0.0336185819070904,0.031979695431472,0.0296787709497206,0.0297181372549019,0.029727793696275,0.0329819277108433,460,409,394,358,408,349,498
2,39,12001105,13.1352402110525,14.0794223826715,16.8008886420439,13.412940849764,17.9950013885032,13.3851707858928,11.1913357400722,0.0325757575757575,0.0305421686746987,0.0329520697167755,0.0297413793103448,0.0304511278195488,0.029679802955665,0.0285410764872521,363,415,459,406,532,406,353
2,40,12001116,12.8297695084699,12.857539572341,16.439877811719,15.1069147459039,16.6064981949458,12.0799777839489,14.0794223826715,0.0293147208121827,0.0290100250626566,0.0316239316239316,0.0289361702127659,0.0279962546816479,0.0283203125,0.0284192825112107,394,399,468,470,534,384,446
2,41,12001149,16.5509580672036,14.3015828936407,17.9394612607609,11.6911968897528,11.2468758678145,11.4134962510414,16.8564287697862,0.0357314148681055,0.0321875,0.0352620087336244,0.0306851311953352,0.030314371257485,0.0298691860465116,0.0327753779697624,417,400,458,343,334,344,463
2,42,12001161,15.6067758955846,13.607331296862,15.0236045542905,12.8297695084699,13.4407109136351,13.0241599555679,16.4676478755901,0.0316441441441441,0.0301724137931034,0.0332309582309582,0.0291666666666666,0.029156626506024,0.0292394014962593,0.0297690763052208,444,406,407,396,415,401,498
