group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
2,61,00010075,29.1961682632237,24.4064972927947,23.9900041649313,22.4073302790504,0.0755387931034483,0.0639737991266377,0.0576000000000001,0.0597777777777779,232,229,250,225
2,62,00010076,27.2802998750521,22.0324864639733,27.7384423157018,22.9487713452728,0.0576584507042255,0.0495318352059927,0.0555000000000001,0.0559959349593498,284,267,300,246
2,63,00010079,27.0720533111204,25.3227821740941,25.2811328613078,22.3240316534777,0.0548986486486488,0.049190938511327,0.0465490797546014,0.0465277777777779,296,309,326,288
2,64,00010080,29.6959600166597,21.9491878384007,23.3236151603499,25.0312369845898,0.0817660550458716,0.0679123711340208,0.0557768924302791,0.0658991228070176,218,194,251,228
2,65,00010081,24.5314452311537,29.362765514369,23.8234069137859,22.2823823406914,0.0533514492753625,0.0599489795918368,0.0458333333333335,0.0514423076923079,276,294,312,260
2,66,00010083,26.4889629321116,24.323198667222,27.030403998334,22.1574344023324,0.0613899613899614,0.0563706563706565,0.0587862318840581,0.0538461538461539,259,259,276,247
2,67,00010084,28.7380258225739,26.0724698042482,24.57309454394,20.6164098292378,0.0756578947368422,0.0748803827751197,0.0612033195020748,0.0637886597938145,228,209,241,194
2,68,00010085,25.8642232403165,23.2819658475635,24.8229904206581,26.0308204914619,0.0618525896414344,0.0481896551724139,0.0519163763066203,0.0574448529411766,251,290,287,272
2,69,00010086,19.0337359433569,24.7813411078717,29.1545189504373,27.030403998334,0.0516968325791856,0.0612139917695475,0.0641025641025642,0.0596507352941176,221,243,273,272
2,70,00010088,25.5310287380258,26.530612244898,24.1566014160766,23.7817576009996,0.0533972125435542,0.0570788530465952,0.0475409836065576,0.0490549828178696,287,279,305,291
2,71,00010089,21.5743440233236,30.0291545189504,28.2382340691379,20.1582673885881,0.0520080321285142,0.0723895582329318,0.0561258278145697,0.0497942386831277,249,249,302,243
2,72,00010090,26.8221574344023,23.2819658475635,26.3640149937526,23.5318617242815,0.0616858237547894,0.056124497991968,0.0549479166666668,0.0569556451612905,261,249,288,248
2,73,00010091,23.9483548521449,28.0299875052062,23.7817576009996,24.2399000416493,0.0729695431472082,0.0747777777777778,0.0654816513761469,0.0664383561643837,197,225,218,219
2,74,00010092,24.6147438567264,25.5310287380258,26.2390670553936,23.6151603498542,0.0539233576642337,0.0543439716312058,0.0516393442622952,0.0551556420233464,274,282,305,257
