group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
2,22,00010031,20.9496043315285,24.9062890462307,30.4039983340275,23.7401082882132,0.0517489711934158,0.0511986301369864,0.0683520599250936,0.0521978021978023,243,292,267,273
2,23,00010032,21.990837151187,24.57309454394,32.8613077884215,20.5747605164515,0.0550000000000001,0.0562977099236642,0.0818464730290456,0.0486220472440946,240,262,241,254
2,24,00010033,21.6576426488963,25.6143273635985,32.3198667221991,20.4081632653061,0.055084745762712,0.0615000000000001,0.0734848484848485,0.050411522633745,236,250,264,243
2,25,00010034,22.5322782174094,26.3223656809663,27.1137026239067,24.0316534777176,0.044055374592834,0.0467455621301777,0.0500769230769232,0.0457936507936509,307,338,325,315
2,26,00010035,21.7825905872553,24.6563931695127,29.8625572678051,23.6984589754269,0.0523000000000001,0.058964143426295,0.071987951807229,0.0532771535580526,250,251,249,267
2,27,00010036,22.9071220324865,27.0720533111204,27.8217409412745,22.1990837151187,0.049107142857143,0.0514240506329115,0.0649805447470818,0.048631386861314,280,316,257,274
2,28,00010037,20.7413577675968,26.2390670553936,29.23781757601,23.7817576009996,0.0590047393364931,0.0650826446280993,0.0728215767634855,0.0544847328244276,211,242,241,262
2,29,00010038,20.4914618908788,27.030403998334,31.5285297792586,20.9496043315285,0.0539473684210527,0.0614583333333335,0.0798523206751055,0.0587616822429907,228,264,237,214
2,30,00010039,24.073302790504,23.7817576009996,29.9875052061641,22.1574344023324,0.0489830508474578,0.0520985401459856,0.054711246200608,0.0461805555555557,295,274,329,288
2,31,00010040,26.905456059975,22.0741357767597,28.7380258225739,22.2823823406914,0.0684322033898306,0.0573593073593075,0.0706967213114755,0.057900432900433,236,231,244,231
2,32,00010041,25.0728862973761,23.1986672219908,27.6551436901291,24.073302790504,0.0555350553505536,0.0561491935483872,0.0691666666666668,0.0535185185185187,271,248,240,270
2,33,00010042,19.9916701374427,25.9058725531029,29.0712203248646,25.0312369845898,0.0431654676258994,0.0506514657980458,0.0547021943573669,0.0478503184713378,278,307,319,314
2,34,00010044,22.5322782174094,24.4897959183673,27.0720533111204,25.9058725531029,0.0447847682119207,0.0491638795986623,0.0552721088435375,0.0516611295681065,302,299,294,301
2,35,00010045,21.2827988338192,27.4052478134111,27.9466888796335,23.3652644731362,0.0532291666666668,0.0607011070110702,0.0660433070866143,0.0519444444444446,240,271,254,270
2,36,00010046,21.5326947105373,24.5314452311537,28.7380258225739,25.1978342357351,0.0487735849056605,0.0502559726962458,0.0565573770491804,0.048948220064725,265,293,305,309
2,37,00010047,30.6122448979592,22.1574344023324,27.6134943773428,19.6168263223657,0.0688202247191012,0.053846153846154,0.063263358778626,0.0484567901234569,267,247,262,243
2,38,00010048,23.8650562265723,23.2403165347772,27.4468971261974,25.4477301124531,0.0472772277227725,0.0472881355932205,0.0590501792114697,0.0514309764309766,303,295,279,297
2,39,00010049,23.1986672219908,26.8221574344023,29.362765514369,20.6164098292378,0.0493794326241136,0.0665289256198349,0.0589464882943144,0.0454963235294119,282,242,299,272
2,40,00010050,19.533527696793,26.5722615576843,29.23781757601,24.6563931695127,0.0427919708029199,0.0542517006802722,0.057920792079208,0.054814814814815,274,294,303,270
2,41,00010051,28.4048313202832,20.1582673885881,28.3631820074969,23.0737192836318,0.0551779935275082,0.0476377952755907,0.0538765822784811,0.0492882562277581,309,254,316,281
2,42,00010052,25.8225739275302,24.323198667222,27.4468971261974,22.4073302790504,0.0559566787003612,0.0514084507042254,0.0545529801324504,0.0490875912408761,277,284,302,274
2,43,00010053,22.3240316534777,24.9895876718034,28.4881299458559,24.198250728863,0.0505660377358492,0.0503355704697988,0.0681274900398407,0.0511443661971832,265,298,251,284
2,44,00010056,21.61599333611,26.2807163681799,28.0299875052062,24.073302790504,0.045367132867133,0.0542096219931273,0.0578178694158077,0.0488175675675677,286,291,291,296
2,45,00010059,22.5322782174094,24.8646397334444,26.4473136193253,26.1557684298209,0.0538844621513946,0.0495847176079736,0.0625000000000001,0.0556737588652483,251,301,254,282
2,46,00010060,18.2423990004165,25.6559766763848,32.7780091628488,23.3236151603499,0.0547500000000001,0.0723004694835682,0.0823221757322176,0.0651162790697675,200,213,239,215
2,47,00010061,22.0741357767597,23.4069137859225,32.5281132861308,21.990837151187,0.0525793650793652,0.0524253731343285,0.0784136546184738,0.0509652509652511,252,268,249,259
2,48,00010062,21.4910453977509,25.5726780508122,32.0283215326947,20.9079550187422,0.058371040723982,0.0629098360655738,0.0791152263374486,0.0597619047619049,221,244,243,210
2,49,00010063,28.9046230737193,18.9087880049979,36.8179925031237,15.3685964181591,0.124820143884892,0.0610215053763442,0.113333333333333,0.0545857988165681,139,186,195,169
2,50,00010064,21.61599333611,25.3644314868805,33.5276967930029,19.4918783840067,0.0597926267281107,0.0613911290322582,0.0871212121212121,0.0559808612440192,217,248,231,209
2,51,00010065,18.8254893794252,28.0299875052062,29.8209079550187,23.3236151603499,0.0634831460674158,0.070397489539749,0.0727642276422765,0.0651162790697675,178,239,246,215
2,52,00010066,23.4902124114952,25.1978342357351,29.2794668887963,22.0324864639733,0.0582644628099175,0.0595472440944883,0.0675961538461539,0.0553347280334729,242,254,260,239
2,53,00010067,24.8646397334444,22.6572261557684,30.3623490212412,22.115785089546,0.0657488986784142,0.0621004566210047,0.0765756302521009,0.0564893617021278,227,219,238,235
2,54,00010068,22.2823823406914,25.6976259891712,28.1132861307788,23.9067055393586,0.058406113537118,0.0637396694214877,0.0727370689655173,0.0664351851851853,229,242,232,216
2,55,00010069,21.0329029571012,25.5726780508122,27.5718450645564,25.8225739275302,0.0573863636363637,0.06239837398374,0.062689393939394,0.0615079365079366,220,246,264,252
2,56,00010070,25.1561849229488,25.0728862973761,27.7384423157018,22.0324864639733,0.0594488188976379,0.0553308823529413,0.0609890109890111,0.056276595744681,254,272,273,235
2,57,00010071,23.2403165347772,21.5743440233236,30.4872969596002,24.698042482299,0.063409090909091,0.0599537037037038,0.0765690376569039,0.0650219298245615,220,216,239,228
2,58,00010072,29.1961682632237,20.7830070803832,28.987921699292,21.0329029571012,0.0703815261044178,0.0554444444444445,0.0725000000000001,0.0509072580645163,249,225,240,248
2,59,00010073,22.8654727197001,24.323198667222,29.5293627655144,23.2819658475635,0.059934497816594,0.0577075098814231,0.0711847389558234,0.0599785407725324,229,253,249,233
2,60,00010074,22.4906289046231,23.0737192836318,31.9033735943357,22.5322782174094,0.0625000000000001,0.0563008130081302,0.0832608695652174,0.0580472103004292,216,246,230,233
2,61,00010075,26.655560183257,24.1566014160766,28.4464806330696,20.7413577675968,0.0658436213991771,0.0591836734693878,0.0708506224066391,0.0571100917431193,243,245,241,218
2,62,00010076,24.9895876718034,22.1574344023324,29.5710120783007,23.2819658475635,0.0559701492537315,0.0501886792452832,0.069607843137255,0.056350806451613,268,265,255,248
2,63,00010079,25.7809246147439,23.8650562265723,28.1965847563515,22.1574344023324,0.0542982456140352,0.0474337748344372,0.0569865319865321,0.0465034965034966,285,302,297,286
2,64,00010080,27.4468971261974,21.4910453977509,28.987921699292,22.0741357767597,0.0677983539094651,0.054201680672269,0.0728033472803348,0.0552083333333334,243,238,239,240
2,65,00010081,24.198250728863,28.8629737609329,26.8638067471887,20.0749687630154,0.0511443661971833,0.0585304054054055,0.0586363636363638,0.0461685823754791,284,296,275,261
2,66,00010083,24.0316534777176,24.698042482299,29.8209079550187,21.4493960849646,0.0552681992337166,0.0559433962264152,0.0637010676156584,0.0517068273092371,261,265,281,249
2,67,00010084,25.4477301124531,23.0320699708455,31.9033735943357,19.6168263223657,0.071046511627907,0.0705357142857143,0.0858744394618835,0.0603846153846155,215,196,223,195
2,68,00010085,25.2394835485214,22.240733027905,27.4468971261974,25.0728862973761,0.0569548872180453,0.0471731448763252,0.0628816793893131,0.0592519685039372,266,283,262,254
2,69,00010086,16.9096209912536,27.8217409412745,26.4889629321116,28.7796751353603,0.0461363636363637,0.0670682730923696,0.0676595744680852,0.0635110294117648,220,249,235,272
2,70,00010088,23.0320699708455,25.4893794252395,29.23781757601,22.240733027905,0.0476724137931036,0.0511705685618731,0.058112582781457,0.0500000000000001,290,299,302,267
2,71,00010089,20.0333194502291,29.487713452728,31.0287380258226,19.4502290712203,0.0488821138211383,0.0686046511627908,0.0697565543071161,0.0486458333333335,246,258,267,240
2,72,00010090,19.658475635152,24.6563931695127,31.9866722199084,23.6984589754269,0.0446969696969698,0.0564885496183207,0.0721804511278196,0.0569000000000001,264,262,266,250
